06/06/1962 (2),Al Jackson,At PHI,1,0,0,0,1,0,0,8.33,8,2,2,1,1,5,2,0,0
06/08/1962 (1),Jay Hook,At CHN,1,0,0,1,0,0,0,8.00,10,3,3,1,0,4,0,0,0
06/08/1962 (2),Bob Miller,At CHN,1,0,0,0,1,0,0,7.00,4,3,3,0,5,4,1,0,0
6/9/62,Bob Moorhead,At CHN,1,0,0,0,0,0,0,1.67,5,3,3,0,1,4,0,0,0
06/10/1962 (1),Roger Craig,At CHN,1,0,0,1,0,0,0,8.33,10,1,1,0,2,4,0,0,0
06/10/1962 (2),Ray Daviault,At CHN,1,0,0,0,0,0,0,5.33,6,1,1,0,2,5,0,0,0
6/11/62,Al Jackson,At HOU,1,1,0,1,0,0,0,9.00,7,1,1,0,1,4,0,0,0
6/12/62,Bob Miller,At HOU,1,0,0,0,0,0,0,5.00,2,1,0,0,4,5,0,0,0
6/14/62,Jay Hook,At HOU,1,0,0,0,1,0,0,0.00,5,6,4,1,0,0,0,0,0
6/15/62,Roger Craig,Vs. CHN,1,0,0,0,1,0,0,6.00,8,5,3,1,1,4,1,0,0
6/16/62,Willard Hunter,Vs. CHN,1,0,0,0,1,0,0,4.67,7,5,5,1,1,1,0,0,0
06/17/1962 (1),Al Jackson,Vs. CHN,1,0,0,0,1,0,0,8.33,8,8,4,2,5,7,0,0,0
06/17/1962 (2),Bob Miller,Vs. CHN,1,0,0,0,0,0,0,5.33,5,2,0,0,2,2,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
6/18/62,Jay Hook,Vs. MIL,1,0,0,0,1,0,0,3.00,4,6,6,2,3,1,0,0,0
6/19/62,Roger Craig,Vs. MIL,1,1,0,1,0,0,0,9.00,7,5,5,1,2,5,0,0,0
06/20/1962 (1),Ray Daviault,Vs. MIL,1,0,0,0,1,0,0,3.00,6,5,5,1,2,1,1,0,0
06/20/1962 (2),Willard Hunter,Vs. MIL,1,1,0,0,1,0,0,6.00,2,3,3,2,5,6,0,0,0
06/22/1962 (1),Al Jackson,Vs. HOU,1,1,0,1,0,0,1,9.00,1,0,0,0,2,9,0,0,0
06/22/1962 (2),Bob Miller,Vs. HOU,1,0,0,0,1,0,0,4.33,9,8,6,2,1,0,0,0,1
6/23/62,Jay Hook,Vs. HOU,1,1,0,1,0,0,0,9.00,8,2,2,1,3,0,1,0,0
6/25/62,Craig Anderson,At PIT,1,0,0,0,1,0,0,0.33,5,6,4,0,0,1,0,0,0
6/26/62,Willard Hunter,At PIT,1,0,0,0,1,0,0,6.00,7,5,5,1,3,5,0,0,1
6/27/62,Roger Craig,At PIT,1,1,0,0,1,0,0,9.33,11,6,6,0,1,3,1,0,1
6/28/62,Al Jackson,At LAN,1,0,0,0,0,0,0,7.00,5,3,2,0,0,3,0,0,0
6/29/62,Jay Hook,At LAN,1,1,0,1,0,0,0,9.00,8,4,3,1,4,3,0,0,0
6/30/62,Bob Miller,At LAN,1,0,0,0,1,0,0,0.67,5,4,4,0,1,0,0,0,0
7/1/62,Roger Craig,At LAN,1,0,0,0,1,0,0,7.00,8,5,3,2,0,3,0,0,0
7/2/62,Craig Anderson,At SFN,1,0,0,0,0,0,0,6.33,10,5,5,2,2,4,0,0,0
7/3/62,Al Jackson,At SFN,1,0,0,0,1,0,0,4.33,10,7,7,0,1,2,0,0,0
07/04/1962 (1),Jay Hook,At SFN,1,0,0,0,0,0,0,0.67,5,3,3,0,0,0,0,0,0
07/04/1962 (2),Willard Hunter,At SFN,1,0,0,0,1,0,0,6.00,7,5,4,2,6,3,0,0,0
7/6/62,Roger Craig,Vs. SLN,1,1,0,1,0,0,0,9.00,8,3,3,1,4,6,1,0,0
07/07/1962 (1),Al Jackson,Vs. SLN,1,0,0,0,0,0,0,7.00,9,3,1,0,1,3,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
07/07/1962 (2),Craig Anderson,Vs. SLN,1,1,0,0,1,0,0,9.00,5,3,3,2,4,2,0,0,0
7/8/62,Jay Hook,Vs. SLN,1,0,0,0,1,0,0,4.00,8,9,4,4,1,3,0,0,0
7/12/62,Roger Craig,Vs. LAN,1,1,0,0,1,0,0,9.00,7,3,3,0,2,5,1,0,1
7/13/62,Al Jackson,Vs. LAN,1,1,0,0,1,0,0,9.00,10,5,4,2,1,1,0,0,1
7/14/62,Craig Anderson,Vs. LAN,1,0,0,0,1,0,0,1.00,4,5,5,1,1,1,0,0,0
07/15/1962 (1),Jay Hook,Vs. SFN,1,1,0,1,0,0,0,9.00,9,3,3,1,1,4,1,0,1
07/15/1962 (2),Willard Hunter,Vs. SFN,1,0,0,0,1,0,0,2.00,5,5,5,1,1,0,0,0,0
