0.031,0.176,0.527,0.738,0.666,0.866,0.84,1,1,0,0,0
0.031,0.266,0.457,0.506,0.74,0.709,0.848,0.967,1,1,1,0
0.127,0.642,0.477,0.71,0.723,0.766,0.865,0.88,0.937,0.833,0,1
0.025,0.306,0.538,0.574,0.726,0.717,0.853,0.94,0.791,1,1,1
0.035,0.243,0.571,0.509,0.715,0.766,0.833,0.869,0.89,0.705,1,0
0.153,0.339,0.5,0.577,0.665,0.731,0.76,0.898,0.924,1,1,0
0.055,0.246,0.435,0.555,0.591,0.748,0.825,0.877,0.89,0.952,1,0
0.128,0.292,0.415,0.527,0.617,0.712,0.768,0.918,0.921,0.851,1,1
0.116,0.283,0.46,0.515,0.652,0.742,0.804,0.853,0.925,1,0.909,0.8
0.024,0.221,0.389,0.475,0.62,0.685,0.773,0.845,0.924,0.959,1,1
0.05,0.277,0.337,0.484,0.604,0.707,0.776,0.853,0.934,1,1,1
0.108,0.444,0.4,0.506,0.616,0.692,0.805,0.83,0.851,0.961,1,1
0.117,0.253,0.379,0.5,0.602,0.734,0.788,0.834,0.907,0.923,0.96,1
0.136,0.214,0.413,0.474,0.589,0.667,0.756,0.817,0.913,0.826,1,0.75
0.188,0.296,0.403,0.501,0.602,0.664,0.732,0.816,0.882,0.863,0.875,1
0.048,0.127,0.237,0.363,0.496,0.617,0.705,0.784,0.837,0.952,1,1
0.036,0.102,0.214,0.324,0.509,0.621,0.742,0.812,0.844,0.928,1,1
0.054,0.117,0.193,0.346,0.514,0.615,0.73,0.796,0.909,0.909,1,1
0.043,0.113,0.235,0.357,0.498,0.614,0.738,0.805,0.986,0.933,1,0
0.027,0.077,0.199,0.34,0.493,0.608,0.777,0.721,0.864,1,1,0
0.042,0.092,0.176,0.33,0.496,0.596,0.745,0.824,0.8,0.857,0.5,0
0.035,0.114,0.233,0.374,0.501,0.637,0.688,0.77,0.863,1,0,1
0.021,0.075,0.186,0.358,0.459,0.625,0.722,0.828,1,0,1,0
0.03,0.083,0.172,0.318,0.443,0.564,0.816,0.75,0.625,0.666,0,1
0.043,0.151,0.304,0.452,0.577,0.665,0.731,0.722,1,0.5,1,1
0.013,0.081,0.21,0.319,0.383,0.436,0.75,0.769,1,1,0,0
0.042,0.075,0.185,0.276,0.362,0.458,0.2,1,0.8,0,0,0
0.006,0.051,0.131,0.228,0.366,0.49,0.444,0.823,0.5,1,1,0
0,0.583,0.647,0.588,0.625,1,1,0,0,1,0,0
0.025,0.046,0.231,0.342,0.333,0.3,0.875,1,1,0,0,0
